Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Consortium of European Taxonomic Facilities,General Secretariat,,Other,295007,5/4/2018,Project Assistant,3 weeks 4 days,Expired,1,Environmental science › Other,Temporary,,Not funded by an EU programme
COST,Human Resources,,Other,582262,30/11/2020,Science Officer,3 weeks 2 days,Expired,1,Other,Permanent,SO2021,H2020
COST,Human Resources,,Other,515167,17/04/2020,IT Test Engineer,3 weeks 2 days,Expired,1,Computer science › Computer systems,Permanent,IT2020,H2020
COST,Human Resources,,Other,454531,14/10/2019,Science Officer,2 weeks 6 days,Expired,1,Other,Permanent,SO2019,H2020
COST,Human Resources,,Other,412208,28/05/2019,Science Officer,2 weeks 5 days,Expired,1,Other,Permanent,SO2019,Not funded by an EU programme
COST,Human Resources,,Other,164103,15/12/2016,Science Officer,1 month 1 day,Expired,1,Neurosciences › Other,Permanent,SO2017,H2020
CSIC,Institute of Optics,Visual Optics and Biophotonics Lab,Research Laboratory,290328,19/03/2018,R&D SPECIALIST - VISUAL OPTICS,1 month 1 day,Expired,1,"Physics › Optics, Physics › Biophysics",Temporary,754630,H2020 / ERC
D Mottet's Lab,GIGA - ULg,PSI Lab,Higher Education Institute,478240,7/1/2020,PI,1 month 1 day,Expired,1,"Biological sciences › Biology, Medical sciences › Other",Temporary,,Not funded by an EU programme
de Duve Institute,,Growth Factors Receptors,Higher Education Institute,431357,25/07/2019,Two-year post-doc position in genetics and molecular biology,2 months 6 days,Expired,1,"Biological sciences › Other, Medical sciences › Other",Temporary,,Not funded by an EU programme
de Duve Institute,,Growth Factors Receptors,Higher Education Institute,345824,11/10/2018,Post-doctoral fellow in cancer signaling,2 months 2 weeks,Expired,1,"Biological sciences › Other, Medical sciences › Medicine",Temporary,,Not funded by an EU programme
de Duve Institute,,Growth Factors Receptors,Higher Education Institute,165338,21/12/2016,Post-doc in cancer transcriptome analysis,3 months 1 week,Expired,1,Biological sciences › Other,Temporary,,Not funded by an EU programme
de Duve Institute,Cellular Genetics Unit,Lucas Lab,Research Laboratory,435242,7/8/2019,Post-doc position,2 months 3 weeks,Expired,1,"Biological sciences, Medical sciences",Temporary,,Not funded by an EU programme
de Duve Institute,Cellular Genetics Unit,Lucas Lab,Research Laboratory,221345,31/05/2017,Postdoctoral position in Tumor Immunology,1 month 1 day,Expired,1,"Biological sciences, Medical sciences",Temporary,,H2020 / ERC
DeltaQ,,,"Small Medium Enterprise, Start-up",577870,16/11/2020,Senior Full Stack developer,2 months 3 weeks,Expired,2,Technology › Energy technology,Permanent,,Not funded by an EU programme
Department of Experimental Psychology - Ghent University,Department of Experimental Psychology,Ruth Krebs,Research Laboratory,320037,29/06/2018,postdoc position Cognitive Psychology/Neuroscience at Ghent University,1 month 3 weeks,Expired,1,Psychological sciences › Cognitive science,Temporary,,H2020 / ERC
DistriNet Research Group,"Department of Computer Science, KU Leuven",,Research Laboratory,429978,22/07/2019,Two PhD positions in EU Horizon 2020 MSCA project on 5th GeneratiOn Security for Telecom Services (5GhOSTS),6 months 2 weeks,Expired,2,"Computer science › Informatics, Juridical sciences › Informatic law",Temporary,,H2020 / Marie Skłodowska-Curie Actions
DistriNet Research Group,"Department of Computer Science, KU Leuven",,Research Laboratory,429978,22/07/2019,Two PhD positions in EU Horizon 2020 MSCA project on 5th GeneratiOn Security for Telecom Services (5GhOSTS),6 months 2 weeks,Expired,2,"Computer science › Informatics, Juridical sciences › Informatic law",Temporary,,H2020 / Marie Skłodowska-Curie Actions
DistriNet Research Group,"Department of Computer Science, KU Leuven",,Research Laboratory,308856,24/05/2018,THREE RESEARCHERS IN ENGINEERING TRUSTWORTHY ADAPTIVE SYSTEMS,1 month 1 week,Expired,3,Computer science › Informatics,Temporary,,Not funded by an EU programme
