Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Rīga Stradiņš University,Human Resources departament,,Higher Education Institute,498183,26/02/2020,"Visiting lecturer within the framework of Project Applications Selection Round of Specific Objective 8.2.2 ""To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization""",3 weeks 5 days,Expired,1,Medical sciences › Medicine,Temporary,,Not funded by an EU programme
Rīga Stradiņš University,Human Resources departament,,Higher Education Institute,471116,9/12/2019,Lecturer in research,1 month 1 day,Expired,1,Medical sciences › Other,Temporary,,Not funded by an EU programme
Rīga Stradiņš University,Human Resources departament,,Higher Education Institute,471110,9/12/2019,Lecturer in research,1 month 1 day,Expired,1,Medical sciences › Other,Temporary,,Not funded by an EU programme
Rīga Stradiņš University,Human Resources departament,,Higher Education Institute,471088,9/12/2019,Lecturer in research,1 month 1 day,Expired,1,"Juridical sciences › Medical law, Juridical sciences › Health law",Temporary,,Not funded by an EU programme
Rīga Stradiņš University,Human Resources departament,,Higher Education Institute,314847,12/6/2018,"Visiting lecturer within the framework of Project Applications Selection Round of Specific Objective 8.2.2 ""To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization""",1 year 9 months,Expired,1,Medical sciences,Temporary,,Not funded by an EU programme
Riga Stradins University,Science Department,,Higher Education Institute,361577,6/12/2018,"Visiting lecturer within the framework of Project Applications Selection Round of Specific Objective 8.2.2 ""To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization""",1 month 1 day,Expired,1,Medical sciences › Other,Temporary,,Not funded by an EU programme
Riga Stradins University,Science Department,,Higher Education Institute,311288,1/6/2018,"Visiting lecturer within the framework of Project Applications Selection Round of Specific Objective 8.2.2 ""To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization""",1 month 4 hours,Expired,2,Medical sciences,Temporary,6/1/2018,Not funded by an EU programme
"Rīga Stradiņš University Institute of Stomatology, ltd.",,,"Small Medium Enterprise, Start-up",578872,19/11/2020,Two partly funded first stage researchers’ positions are available within research area of personalized patient specific implants for bone tissue regeneration.,1 month 2 days,Expired,2,Medical sciences › Medicine,Other,,H2020
"Rīga Stradiņš University Institute of Stomatology, ltd.",,,"Small Medium Enterprise, Start-up",578863,19/11/2020,Two Postdoc researchers’ part-time positions are available within research area of personalized patient specific implants for bone tissue regeneration.,1 month 2 days,Expired,2,Medical sciences › Medicine,Other,,H2020
"Rīga Stradiņš University Institute of Stomatology, ltd.",,,"Small Medium Enterprise, Start-up",569528,20/10/2020,One PhD part-time position available within research area of personalized patient specific implants for bone tissue regeneration.,1 month 4 days,Expired,1,Medical sciences,Temporary,RSUISPhD10hw,H2020
"Rīga Stradiņš University Institute of Stomatology, ltd.",,,"Small Medium Enterprise, Start-up",563649,1/10/2020,Two PhD part-time positions available within research area of personalized patient specific implants for bone tissue regeneration.,1 month 1 day,Expired,2,Medical sciences,Permanent,RSI IS PhD,H2020
"Rīga Stradiņš University Institute of Stomatology, ltd.",,,"Small Medium Enterprise, Start-up",550671,13/08/2020,A Group Leader part-time position available within research area of personalized patient specific implants for bone tissue regeneration.,3 months 2 weeks,Expired,1,Medical sciences,Permanent,GL2,H2020
"Rīga Stradiņš University Institute of Stomatology, ltd.",,,"Small Medium Enterprise, Start-up",537496,30/06/2020,Dental Technician,1 month 1 day,Expired,1,Medical sciences,Permanent,BBCE-DT-REP,H2020
"Rīga Stradiņš University Institute of Stomatology, ltd.",,,"Small Medium Enterprise, Start-up",525088,20/05/2020,Within the scope of BBCE project currently there is one Leading researcher part-time position available in development of patient specific personalized implants for bone regeneration.,1 month 5 days,Expired,1,Medical sciences,Permanent,,H2020
"Rīga Stradiņš University Institute of Stomatology, ltd.",,,"Small Medium Enterprise, Start-up",525077,20/05/2020,Within the scope of BBCE project currently there is one Group Leader part-time position available in development of patient specific personalized implants for bone regeneration,1 month 5 days,Expired,1,Medical sciences,Permanent,,H2020
"Rīga Stradiņš University Institute of Stomatology, ltd.",,,"Small Medium Enterprise, Start-up",525066,20/05/2020,Medical Engineer,1 month 5 days,Expired,1,Medical sciences,Permanent,,H2020
